"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"id"
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"linux";"2";23539.0;35
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"N/A";"2.04";26587.0;36
"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";"window";"3.6";52161.0;37
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"window";"1.1";60886.0;38
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";"window";"1.56";67239.0;39
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2.1";58403.0;40
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"window";"2.03";46354.0;41
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Nvidia";"window";"1.49";61006.0;42
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";"macos";"1.37";80453.0;43
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"linux";"2.08";55891.0;44
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"window";"3";44808.0;45
"HP";"Notebook";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";"window";"2.13";29784.0;46
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";"macos";"2.5";47896.0;47
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"window";"2.1";84129.0;48
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2.4";45821.0;49
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"window";"2.1";79654.0;50
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";"window";"2.56";159787.0;51
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"N/A";"3";23656.0;52
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"1.49";41026.0;53
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";"window";"1.86";30050.0;54
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.5;16;"SSD";512;0;"Nvidia";"window";"1.86";74752.0;55
"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";"window";"1.05";82531.0;56
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"window";"2.71";58342.0;57
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";"macos";"2.2";58555.0;58
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"window";"5.4";35964.0;59
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"window";"1.83";38468.0;60
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2.5";39374.0;61
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2.3";74539.0;62
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"N/A";"2.2";30636.0;63
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"window";"0.92";26533.0;64
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";"window";"2.1";51730.0;65
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";"window";"4.4";34045.0;66
"Razer";"Gaming";17.3;3840;2160;1;"Intel";"Core i7";2.9;32;"SSD";1024;0;"Nvidia";"window";"1.90";324955.0;67
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"linux";"1.37";22111.0;68
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"window";"1.29";60153.0;69
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"window";"2.02";69211.0;70
"Lenovo";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";2048;0;"Nvidia";"N/A";"2.2";45235.0;71
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"N/A";"1.23";20987.0;72
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"window";"1.4";100699.0;73
"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"window";"1.83";20726.0;74
"Asus";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.4;4;"SSD";128;0;"Intel";"window";"2.0";27120.0;75
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"window";"2.2";59567.0;76
"Lenovo";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.8;8;"SSD";512;0;"Nvidia";"window";"1.95";90523.0;77
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";512;0;"Intel";"macos";"1.22";108691.0;78
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"window";"2.77";57756.0;79
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"window";"2.06";50563.0;80
"HP";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"Intel";"window";"2.4";105228.0;81
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";256;1024;"Nvidia";"window";"1.12";63883.0;82
"Lenovo";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"window";"2.8";53227.0;83
"Vero";"Notebook";14.0;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"window";"2.5";13853.0;84
"Dell";"Workstation";15.6;1920;1080;0;"Intel";"Xeon E3-1505M";3.0;8;"HDD";64;1024;"Nvidia";"window";"1.3";106187.0;85
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";"window";"1.3";60846.0;86
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"window";"2.8";77203.0;87
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;6;"Hybrid";128;1024;"Nvidia";"window";"1.62";38308.0;88
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"N/A";"1.86";17156.0;89
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2.8";50563.0;90
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"window";"1.62";54758.0;91
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";"2.5";18595.0;92
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"window";"1.7";42624.0;93
"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"window";"3.49";98515.0;94
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";"macos";"1.49";135195.0;95
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;6;"HDD";2048;0;"AMD";"window";"1.91";37243.0;96
"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"3.35";70063.0;97
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"N/A";"2.5";19180.0;98
"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"window";"2.3";93240.0;99
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";"window";"1.35";69157.0;100
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"window";"1.7";113060.0;101
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";"macos";"4.3";53173.0;102
"Asus";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i7";2.7;16;"SSD";512;0;"Intel";"window";"1.4";93181.0;103
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"window";"2.2";35005.0;104
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";"window";"1.68";36337.0;105
"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"window";"1.88";25521.0;106
"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";2.4;8;"SSD";256;0;"Intel";"window";"1.37";73473.0;107
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"window";"2.5";53227.0;108
"HP";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";"window";"3";66547.0;109
"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;2;"Flash Storage";32;0;"Intel";"window";"1.86";14865.0;110
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";2.7;8;"Hybrid";128;1024;"Nvidia";"N/A";"2.65";47366.0;111
"HP";"Notebook";15.6;1920;1080;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";"window";"2.1";26053.0;112
"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";"window";"1.8";13267.0;113
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";"window";"1.86";34046.0;114
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;6;"SSD";256;0;"AMD";"window";"1.41";32980.0;115
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i7";2.7;6;"Hybrid";128;1024;"Nvidia";"window";"2.23";45768.0;116
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";512;0;"Intel";"window";"1.89";51096.0;117
"Dell";"Notebook";15.6;3840;2160;1;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"window";"3.2";127712.0;118
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"window";"2.8";46833.0;119
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Nvidia";"window";"1.65";55571.0;120
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";"macos";"2.4";96096.0;121
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"window";"1.44";50243.0;122
"Lenovo";"2 in 1 Convertible";13.9;1920;1080;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"window";"1.91";57489.0;123
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;16;"SSD";512;256;"Intel";"window";"2.71";85672.0;124
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"window";"1.9";63670.0;125
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"window";"2.9";20460.0;126
"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i7";2.5;16;"SSD";512;0;"Intel";"window";"2.3";137942.0;127
"HP";"Ultrabook";12.5;3840;2160;1;"Intel";"Core M";1.2;8;"SSD";512;0;"Intel";"window";"3";107306.0;128
"Dell";"Notebook";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"window";"1.21";29697.0;129
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";"window";"4.14";21259.0;130
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"linux";"1.2";39165.0;131
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Nvidia";"window";"?";42890.0;132
"Lenovo";"Ultrabook";14.0;2560;1440;0;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";"window";"2.4";121585.0;133
"Dell";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";"window";"2";76031.0;134
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"window";"2.9";21312.0;135
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"window";"1.35";119427.0;136
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"window";"2.1";38308.0;137
"Dell";"Ultrabook";13.3;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";1024;0;"Intel";"window";"2.8";133147.0;138
"Asus";"2 in 1 Convertible";11.6;1366;768;1;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"window";"1.44";19980.0;139
"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"window";"1.252";74539.0;140
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"window";"2.1";47739.0;141
"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series A6-9220";2.5;8;"SSD";128;0;"AMD";"window";"1.4";23758.0;142
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2.2";43636.0;143
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";"linux";"2.8";19554.0;144
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";"window";"2.2";52481.0;145
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";"linux";"2.2";22804.0;146
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"HDD";1024;0;"Nvidia";"window";"1.86";56424.0;147
"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;"Intel";"Core i3";2.4;4;"SSD";256;0;"Intel";"window";"2.7";33513.0;148
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";"window";"2.1";23923.0;149
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"window";"2";43636.0;150
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"linux";"2.1";52161.0;151
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";"2.1";41505.0;152
"HP";"Notebook";14.0;1366;768;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"window";"2.65";38468.0;153
"HP";"Notebook";15.6;1920;1080;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"window";"2.2";18595.0;154
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"window";"2.18";23390.0;155
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;8;"SSD";256;0;"Nvidia";"N/A";"2.3";26587.0;156
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"window";"2.2";38788.0;157
"Asus";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"Hybrid";512;2048;"Nvidia";"window";"2.24";58555.0;158
"Xiaomi";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";"2.2";53275.0;159
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";"window";"2.02";133147.0;160
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Nvidia";"window";"2.67";34579.0;161
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"N/A";"2.2";27652.0;162
"Acer";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.2;8;"SSD";256;0;"Intel";"window";"4.1";52694.0;163
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"window";"1.05";21046.0;164
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";"window";"1.4";45554.0;165
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"window";"2.8";95851.0;166
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"window";"2.5";55891.0;167
"Lenovo";"Netbook";11.6;1366;768;0;"Intel";"Celeron Quad";1.1;4;"SSD";128;0;"Intel";"window";"1.63";29464.0;168
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"window";"1.6";35112.0;169
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"window";"2.05";71875.0;170
"Lenovo";"2 in 1 Convertible";14.0;2560;1440;1;"Intel";"Core i7";2.6;16;"SSD";512;0;"Intel";"window";"1.37";133147.0;171
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"window";"2.77";53227.0;172
"HP";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"window";"1.62";21232.0;173
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";"window";"1.37";35325.0;174
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"window";"2.5";58768.0;175
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"window";"2.2";47100.0;176
"HP";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"window";"3.2";73473.0;177
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"Hybrid";256;1024;"Intel";"window";"1.74";71076.0;178
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";"linux";"1.88";34472.0;179
"Lenovo";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;"AMD";"N/A";"1.2";16464.0;180
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"window";"2.3";23923.0;181
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"window";"2.1";111835.0;182
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"window";"0.92";18328.0;183
"HP";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"window";"4.42";59620.0;184
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"SSD";128;0;"Intel";"window";"3.2";42251.0;185
"Dell";"Workstation";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";"window";"1.63";153705.0;186
"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.7;4;"SSD";256;0;"Intel";"window";"2.2";57649.0;187
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.5;8;"HDD";500;0;"Nvidia";"window";"2.14";43263.0;188
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"SSD";128;0;"Intel";"window";"2.3";31382.0;189
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"window";"2.2";55678.0;190
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";"window";"1.36";30476.0;191
